front[mm],rear[mm],PID Align setpoint,PID Distance setpoint,error[mm],angle[rad],distance[mm],time[s],rw_speed[rad/s],lw_speeed[rad/s]
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6214333,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6214595,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6214852,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6215117,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6215372,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.621563,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.621589,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6216152,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6216412,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6216674,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6216927,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6217186,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.621772,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6218026,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6218307,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6218722,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6219003,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6219332,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6219604,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6219878,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.622027,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6220562,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6220832,0.0,0.0
480.0,480.0,0.13,500,0.0,0.0,630.0,1642519237.6221094,0.0,0.0
