Full Time,9.662449836730957,,,,,,,,,,,,,,,
Full Distance,1320,,,,,,,,,,,,,,,
Base Speed,2.5,,,,,,,,,,,,,,,
int,error[mm],angle[rad],distance[mm],rw_speed[rad/s],lw_speeed[rad/s],pozyx_x_1,pozyx_y_1,pozyx_rot_y_1,pozyx_x_2,pozyx_y_2,pozyx_rot_2,,,,,
54,1644502850.6278594,679.0,696.0,0.3,500.0,17.0,0.08695962656792519,818.311579283385,3.366163492202759,5.1694655418396,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
55,1644502850.6362734,679.0,696.0,0.3,500.0,17.0,0.08695962656792519,815.0140762787149,3.366163492202759,5.1694655418396,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
56,1644502850.6544468,679.0,696.0,0.3,500.0,17.0,0.08695962656792519,815.0140762787149,3.44631028175354,4.488218307495117,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
57,1644502850.6570282,680.0,702.0,0.3,500.0,22.0,0.11234545817437695,815.0140762787149,3.44631028175354,4.488218307495117,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
58,1644502850.6711562,680.0,702.0,0.3,500.0,22.0,0.11234545817437695,815.0140762787149,3.6066036224365234,4.00733757019043,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
59,1644502850.6857774,680.0,702.0,0.3,500.0,22.0,0.11234545817437695,815.0140762787149,3.847043991088867,3.887117385864258,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
60,1644502850.694596,680.0,702.0,0.3,500.0,22.0,0.11234545817437695,812.1984861985293,3.847043991088867,3.887117385864258,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
61,1644502850.71369,680.0,702.0,0.3,500.0,22.0,0.11234545817437695,812.1984861985293,4.167631149291992,3.967264175415039,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
62,1644502850.7594075,680.0,702.0,0.3,500.0,22.0,0.11234545817437695,821.4768712150868,4.888951778411865,4.127557754516602,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
63,1644502850.773031,680.0,702.0,0.3,500.0,22.0,0.11234545817437695,821.4768712150868,4.888951778411865,4.127557754516602,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
64,1644502850.7917778,683.0,701.0,0.3,500.0,18.0,0.09204684886340674,821.4768712150868,4.808804988861084,4.04741096496582,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
65,1644502850.810225,683.0,701.0,0.3,500.0,18.0,0.09204684886340674,821.4768712150868,4.888951778411865,3.967264175415039,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
66,1644502850.8289037,683.0,701.0,0.3,500.0,18.0,0.09204684886340674,826.86495447635,5.009171962738037,4.04741096496582,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
67,1644502850.8313117,683.0,701.0,0.3,500.0,18.0,0.09204684886340674,826.86495447635,5.009171962738037,4.04741096496582,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
68,1644502850.8397214,686.0,701.0,0.3,500.0,15.0,0.07677189126977804,826.0854290086953,5.209538459777832,4.247777938842773,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
69,1644502850.8475957,686.0,701.0,0.3,500.0,15.0,0.07677189126977804,826.0854290086953,5.209538459777832,4.247777938842773,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
70,1644502850.8560326,686.0,702.0,0.3,500.0,16.0,0.08186788792469124,826.0854290086953,5.209538459777832,4.247777938842773,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
71,1644502850.8646169,686.0,702.0,0.3,500.0,16.0,0.08186788792469124,826.0854290086953,5.329758644104004,4.367998123168945,1.759,1.334,-0.169921875,1.759,1.334,-0.169921875
